Gene_ID	sp1	sp3
Hs6st2	0	1
Hsd17b11	0	1
Hsd17b14	0	0
Hsd3b7	1	1
Hsf2bp	0	0
Hsp90aa1	1	1
Hspa12a	1	1
Hspa12b	0	1
Hspa4	0	1
Hspa8	1	1
Hspb1	1	1
Hspb11	0	0
Hspbap1	1	1
Htatip2	0	1
Htra1	0	1
Hunk	0	1
Hvcn1	0	1
Hyi	1	1
Ica1	1	1
Icam1	1	1
Icosl	1	1
Id3	1	0
Ide	0	0
Idh2	1	1
Ier3	1	1
Ier5	1	1
Ier5l	1	1
Iffo2	1	1
Ifi27l2a	0	0
Ifi35	1	1
Ifitm1	1	1
Ifitm3	0	1
Ifnar2	1	1
Ifngr1	1	1
Ifngr2	0	1
Ifnlr1	1	1
Ift140	1	1
Ift43	1	0
Igdcc3	0	1
Igdcc4	1	1
Igf1r	1	1
Igf2	0	0
Igf2bp3	1	1
Igfbp2	1	1
Igfbp3	1	1
Igfbp4	1	1
Igsf23	0	0
Igsf9	1	1
Igsf9b	0	1
Ikbip	0	0
Ikzf1	0	1
Ikzf2	0	1
Il11ra1	0	0
Il15ra	0	0
Il23a	0	0
Il3ra	0	0
Ildr1	0	1
Ilk	1	1
Impad1	1	1
Ina	1	1
Inadl	0	0
Inafm1	1	1
Inafm2	1	1
Inca1	0	0
Inf2	1	1
Inhbb	0	1
Ino80	1	1
Inpp4a	1	1
Inpp5d	0	0
Inpp5e	1	1
Insr	1	1
Ints6	1	1
Invs	1	1
Ipp	1	1
Iqcg	0	0
Irak2	0	1
Irak3	0	1
Irf2	1	1
Irgm1	0	0
Irs1	0	1
Irs2	0	0
Isca2	0	0
Isl1	0	1
Ism2	1	1
Itfg1	1	1
Itga2b	0	0
Itga3	1	1
Itga6	1	1
Itga8	0	1
Itga9	0	1
Itgb1	1	0
Itgb5	0	1
Itgb7	0	0
Itm2a	0	1
Itm2c	1	1
Itpk1	1	1
Itpka	1	1
Itpkb	0	0
Itpr2	1	1
Itprip	1	1
Itpripl2	0	1
Itsn2	0	1
Jade1	1	1
Jade3	1	1
Jag1	1	1
Jag2	1	1
Jak2	1	1
Jak3	0	0
