gene	E14_ES_fpkm	E14_flk_fpkm	E14_HE1_fpkm	E14_HE2_fpkm	E14_prog_fpkm	Sp1hyp_ES_fpkm	Sp1hyp_Flk_fpkm	Sp1hyp_HE1_fpkm	Sp1hyp_HE2_fpkm	Sp1hyp_prog_fpkm
Gtf2h1	59.80042985	22.9089532	28.41912803	32.90133152	38.19846933	59.38664037	29.67047182	38.11923007	40.35059573	47.89265757
Gtf2h2	22.20587462	19.50743812	11.45054315	18.72917337	28.5715749	21.037877	19.02256605	14.35192797	20.09307747	36.23526273
Gtf2h3	29.10900793	26.14308187	12.6200984	15.39484263	17.55874987	32.44120575	27.85401255	14.62889433	18.48060582	19.58941912
Gtf2h4	21.35237548	22.39690662	13.41642022	17.36780718	19.9427753	22.54129707	19.03502897	14.8159335	15.84298415	17.06990573
Gtf2h5	27.80213917	29.0847434	25.4100648	36.58450337	32.55765315	27.46515213	30.56856758	28.89964148	33.51299462	40.6914605
Gtf2i	49.38046923	80.63637923	67.13326102	67.09957218	68.39448805	64.85039643	83.56923435	93.0547747	100.9583154	73.8040106
Gtf2ird1	19.12599303	26.11150607	17.2391332	12.3966818	10.39959903	23.03186703	24.12731197	14.05963587	11.8413646	7.92129105
Gtf2ird2	0.584757633	1.2771458	1.740429383	1.860497833	3.152344033	1.675433717	2.530962067	3.048577383	3.28377615	4.148345833
Gtf3a	22.00346958	23.79569563	16.69513908	27.57095897	35.46837713	25.12972792	16.137076	19.40035358	27.88981825	28.69718537
Gtf3c1	26.83412542	39.3678462	45.48265435	40.48377543	37.74382267	26.05092505	34.40849507	47.95980335	41.8861174	31.81162998
Gtf3c2	41.28532363	30.6350939	22.02760778	25.2507626	32.16392183	40.50716723	38.14982942	25.22740695	30.39912262	31.99679855
Gtf3c3	24.03923478	22.19771475	13.92071188	17.1465114	16.78106268	20.54934653	23.82891292	18.14271153	19.53128165	20.68049658
Gtf3c4	18.57166792	18.09658283	13.87759428	16.55922695	17.44351513	17.49991092	21.49473323	15.86974412	18.5739072	19.32852528
Gtf3c5	11.01045112	12.17798268	11.23622952	29.4620716	31.24490752	12.08493392	12.57439067	12.52936833	22.83023713	24.29879378
Gtf3c6	34.59440327	16.63535367	21.0358069	31.03805385	29.14790227	20.51966792	19.91995198	23.01601838	30.40858522	31.04111688
Gtpbp1	22.32584748	17.90007702	13.78584493	19.49766278	30.230838	24.05760777	23.31477733	16.69581068	22.94244773	33.9763612
Gtpbp10	23.79206457	23.7597576	8.157003733	11.54551795	10.98564865	22.41434868	20.83562653	8.713380917	11.77592045	12.21324157
Gtpbp2	5.76909245	9.82992515	12.33130025	11.26173173	15.24967487	7.369508017	12.29326347	16.31369903	14.51203793	15.53375137
Gtpbp3	11.05821833	11.74029982	12.6733463	12.25103023	12.61600203	14.53324752	10.94181122	12.5468788	12.40678917	11.3178154
Gtpbp4	120.8967756	92.27456018	53.30231423	67.4973905	66.2581901	104.3945057	96.06108383	58.6412648	70.11017133	77.90473977
Gtpbp6	4.96474275	6.4641764	3.5690566	3.885525883	5.113209133	8.407704483	5.462418633	4.233533767	4.624968217	4.23774215
Gtpbp8	7.557299683	7.879186	6.30719125	8.1835266	9.626375183	7.034299517	8.466924983	6.782892533	8.643480583	13.33383533
Gtse1	59.48978487	40.75938872	41.09536713	40.193313	35.05392002	62.31188153	28.90408155	56.986043	44.24990998	32.17434293
Gtsf1	3.42524625	0	0.000444875	0.0003658	0.000715	2.464482333	0	0.001723592	0.00155065	0.007057617
Gtsf1l	32.71629242	0.333787617	0.116918633	0.187354483	0.67239795	26.46739357	0.256411183	0.248992533	0.089453583	0.345561942
