gene,Sp1hyp_ES_fpkm,Sp1hyp_Flk_fpkm,Sp1hyp_HE1_fpkm,Sp1hyp_HE2_fpkm,Sp1hyp_prog_fpkm
Rfc2,52.42759843,55.95714568,48.57622707,68.25404433,73.56082012
Rfc3,39.82344948,54.30957192,37.7257102,59.54842455,54.9428998
Rfc4,39.93493937,39.35703923,14.82779308,26.44923125,39.34305958
Rfc5,98.5911452,46.92493118,28.71784902,44.40750698,51.96176882
Rfesd,2.268224033,3.539727167,2.511086783,3.256755117,5.98052105
Rffl,6.903489783,7.746047333,7.808493033,7.121040667,13.41435887
Rfk,11.3741259,12.21100563,10.39427633,14.2517743,22.41060775
Rflna,0.379448633,0.537089717,0.358042883,0.548802217,0.4954865
Rflnb,0.3567566,2.360900317,2.892574933,1.021856133,0.641737267
Rfng,8.009702833,4.702790833,5.327702717,6.30431215,6.65328945
Rft1,6.603720683,8.2219007,4.8300632,6.107664033,7.14042105
Rftn1,1.042906467,73.71642878,31.99026177,14.03288835,5.068855067
Rftn2,0.087610333,0.313428933,1.251066733,0.406769367,0.092929925
Rfwd2,19.11759372,26.62438748,23.7798203,24.03928362,26.34326255
Rfwd3,90.10081463,67.91367977,62.8067381,66.80713908,68.79206063
Rfx1,7.160864333,4.55888445,5.011125417,5.665327517,4.578300583
Rfx2,16.7194517,2.169946917,0.468068533,1.160730483,4.10536205
Rfx3,2.2776385,10.55873743,3.308975517,3.864543383,4.193685067
Rfx5,4.393272917,4.850637567,3.88158275,5.827274367,5.7306559
Rfx7,13.42815455,13.65138375,14.03790293,15.6380361,14.04090807
Rfxank,5.364513833,6.192676517,4.659454017,5.30073215,5.54743685
Rfxap,2.218336533,4.60085225,4.024672383,4.686008033,6.278005083
Rgag4,0.037716217,0.6913814,1.617204117,0.820714467,0.3313405
Rgcc,0.758149083,0.0509158,0.001723592,0.00155065,0.24541515
Rgl1,0.967704867,5.300864933,36.86068235,10.5621298,2.65883935
Rgl2,19.66322295,19.55364592,38.29702202,40.29846147,26.8583484
Rgl3,0.0128172,0.29137995,0.381267167,0.046283033,0.007057617
Rgma,0.217897133,1.512814633,0.43694635,0.128834817,0.136853767
Rgmb,3.437693983,3.181486117,3.467375617,0.94070395,0.2510086
Rgn,0.005596767,0,1.185047717,0.605202017,0.282897992
Rgp1,4.206242483,12.13293122,12.05594282,10.22041422,10.296289
Rgs1,0,0,0.001723592,0.00155065,0.513849433
Rgs10,0.976079817,1.68187905,1.7682431,7.305926683,65.38845773
Rgs11,0.894302817,1.556806783,0.04764875,0.00155065,0.007057617
Rgs12,4.271935333,12.93638578,10.93715365,8.271941483,7.469945983
Rgs14,0.162620217,0.016628767,0.1080377,1.646140017,2.42489225
Rgs16,2.107426067,0.551667883,4.930556283,1.698559617,0.164171475
Rgs18,0,0,0.0498552,4.1478516,17.4715217
Rgs19,13.01080922,22.92397168,23.28635273,20.23234253,12.71422002
Rgs2,0.329872583,1.283099483,20.28532292,11.96031563,10.7132305
Rgs3,0.889381383,4.861670433,25.12780027,8.743556133,1.67306375
Rgs4,0.051303467,1.694983967,0.626235033,0.436444033,0.445389083
Rgs5,0.093145767,30.91533927,0.962663517,0.63585935,0.472139833
Rgs7bp,0.014359083,0.232935033,3.071064217,1.607922083,0.312098117
Rgs9bp,0.1792343,0.7610096,0.125982317,0.824459483,1.434615283
Rhag,0,0,0.001723592,0.476508867,4.749908083
Rhbdd1,2.697993383,3.770563983,2.753992383,2.738039383,3.361841067
Rhbdd2,3.014990683,6.546341017,4.110308283,7.192983167,7.0752945
Rhbdd3,9.005219283,10.0558758,6.262528933,9.258075067,8.371200133
Rhbdf1,3.371921183,3.48576325,15.39318095,11.96756842,6.724180083
Rhbdf2,5.97805905,2.134209767,0.562797283,0.2577291,0.68789195
Rhbdl1,0.8551465,1.295957817,1.130626533,1.559735483,1.601966733
Rhbdl2,0.433822483,0,0.001723592,0.00155065,0.007057617
Rhbdl3,0.07987275,1.380780383,0.0541007,0.1138141,0.176156633
Rhd,5.0177019,0.392334433,0.08183325,0.11208375,0.507902133
Rheb,31.755616,40.12848718,41.85181427,57.14122332,63.15572808
Rhebl1,24.17989995,17.0831781,6.301011183,4.52292945,4.30553985
Rhno1,16.5019331,26.23264402,19.4443845,21.3744474,21.16879353
Rhoa,95.02065638,90.63961382,114.9227359,98.28108145,94.6600399
Rhob,5.121826317,20.23458,108.6395948,52.54087298,19.34377377
Rhobtb1,0.151843483,1.863369633,3.822848167,1.39174355,2.258165183
Rhobtb2,5.278476317,2.6379616,1.30669955,0.90357275,1.156026767
Rhobtb3,8.76950435,38.74767477,18.31781228,27.93131955,24.69795735
Rhoc,18.19773155,30.49257818,82.02681645,27.37523952,8.945714
Rhod,1.367143267,2.053196217,3.877281167,1.306747417,0.577417333
Rhof,2.2745151,1.18604875,1.616391583,3.866007667,4.633360383
Rhog,2.663368867,11.3003651,14.97227648,15.41790538,14.13950072
Rhoj,0.1661869,7.5381538,49.54928777,38.50219372,17.68135188
Rhoq,6.369747183,11.2552992,11.8227147,8.0784036,5.888829817
Rhot1,21.71081752,19.41387128,19.26632107,23.38177685,24.25042295
Rhot2,14.66247678,13.78202943,10.11045145,12.68273528,12.13286263
Rhou,5.906337817,24.71991247,31.7934602,8.761676083,2.808903833
Rhov,0.640706567,0,0.001723592,0.00155065,0.130123525
