gene,E14_ES_fpkm,E14_flk_fpkm,E14_HE1_fpkm,E14_HE2_fpkm,E14_prog_fpkm
Cox7b2,1.1834574,0.150315233,0.000444875,0.0003658,0.000715
Cox7c,296.8861765,196.393294,174.0157855,230.7757919,255.7851699
Cox8a,150.2446521,173.4622362,132.084213,154.3361615,175.6910902
Cpa2,0.434295533,0.190906717,1.7555129,1.068049983,0.146723708
Cpa3,0,0,0.000444875,0.7668686,0.954342983
Cpd,5.007388483,18.68169092,33.34606405,24.97623812,16.64828285
Cpe,2.73784235,6.6133314,2.125978917,0.71974405,0.244797517
Cpeb1,0.787352033,0.601321167,0.504331583,0.1875695,0.152641517
Cpeb2,0.324083517,0.800966283,3.855062217,3.601480567,5.855343317
Cpeb3,0.543113817,0.236097167,0.703825917,0.406015,0.5906936
Cpeb4,4.299124467,1.320981267,9.794165717,7.928074683,10.13482247
Cped1,0.016503817,0.227699633,14.41619435,12.09269528,1.138472033
Cphx1,2.9353189,0,0.000444875,0.0003658,0.000715
Cplx1,0.33390545,0.420821233,0.096831083,0.097118333,0.114413033
Cplx2,0.0326262,2.55606165,3.716578683,4.508527367,3.149794
Cpm,0.776738783,1.462029333,2.506682833,1.616248283,1.456493083
Cpn1,3.5086312,0.021761867,0.000444875,0.0003658,0.000715
Cpne1,15.42257802,37.19779987,22.35878433,20.3144676,21.29245703
Cpne2,1.536134967,2.757141417,13.59422963,7.441416158,4.65683145
Cpne3,11.5601857,15.48979432,14.53449807,17.11678547,15.36684187
Cpne5,3.7169387,0.48053895,0.000444875,0.0169833,0.048050017
Cpne7,0.539324283,2.01998195,0.04960965,0.64033755,27.07771088
Cpne8,1.681609483,1.125944883,0.644689567,0.52181485,0.063286633
Cpne9,1.343784917,0.091976333,0.05211615,0.1368638,0.093752667
Cpox,11.59132323,19.86544117,9.195742833,8.61661575,27.43660908
Cpped1,3.391020933,4.95525175,7.728001767,7.51476655,7.413055667
